"dateid01","rain","t","trend","y","year"
1/1/1950,4.099,1,0,1.3508,1950
1/1/1951,3.574,2,0.1,0.9476,1951
1/1/1952,4.258,3,0.2,1.2569,1952
1/1/1953,4.79,4,0.3,0.9142,1953
1/1/1954,3.648,5,0.4,1.1022,1954
1/1/1955,6.035,6,0.5,1.1897,1955
1/1/1956,4.829,7,0.6,1.0689,1956
1/1/1957,4.216,8,0.7,0.9007,1957
1/1/1958,4.659,9,0.8,1.2231,1958
1/1/1959,2.98,10,0.9,1.2434,1959
1/1/1960,4.245,11,1,1.1427,1960
1/1/1961,3.198,12,1.1,0.7998,1961
1/1/1962,4.735,13,1.2,0.8468,1962
1/1/1963,6.097,14,1.3,0.8938,1963
1/1/1964,5.724,15,1.4,0.9006,1964
1/1/1965,4.645,16,1.5,1.0955,1965
1/1/1966,3.82,17,1.6,0.988,1966
1/1/1967,4.927,18,1.7,0.9408,1967
1/1/1968,4.793,19,1.8,0.8939,1968
1/1/1969,2.052,20,1.9,0.3629,1969
1/1/1970,3.677,21,2,1.7111,1970
1/1/1971,3.297,22,2.1,1.5152,1971
1/1/1972,3.156,23,2.2,1.5135,1972
1/1/1973,4.844,24,2.3,1.8519,1973
1/1/1974,4.576,25,2.4,1.2963,1974
1/1/1975,4.264,26,2.5,1.5072,1975
1/1/1976,3.091,27,2.6,1.5867,1976
1/1/1977,3.264,28,2.7,1.3538,1977
1/1/1978,3.596,29,2.8,1.6757,1978
1/1/1979,2.746,30,2.9,1.475,1979
1/1/1980,3.136,31,3,1.3289,1980
1/1/1981,5.319,32,3.1,1.28,1981
1/1/1982,3.331,33,3.2,1.5357,1982
1/1/1983,4.592,34,3.3,1.2079,1983
1/1/1984,3.386,35,3.4,1.6154,1984
1/1/1985,2.756,36,3.5,1.6497,1985
1/1/1986,3.851,37,3.6,1.6914,1986
1/1/1987,3.652,38,3.7,2.1408,1987
1/1/1988,3.402,39,3.8,2.3132,1988
1/1/1989,3.78,40,3.9,2.2897,1989
1/1/1990,4.457,41,4,2.0983,1990
1/1/1991,4.396,42,4.1,1.9555,1991
1/1/1992,3.746,43,4.2,1.8192,1992
1/1/1993,3.651,44,4.3,2.3881,1993
1/1/1994,4.896,45,4.4,2.2106,1994
1/1/1995,4.797,46,4.5,2.4475,1995
1/1/1996,3.316,47,4.6,2.3959,1996
1/1/1997,3.39,48,4.7,2.9669,1997
